"nazwisko","party","votes_2007","votes_2011","percent_2007","percent_2011","position_2007","position_2011","mandate_2007","mandate_2011","district","l_os_lista2007","l_os_lista2011","o_ile","o_ile_procent","id","gender","mandat_2007","liczba","liczba_osob","partia_dummy","position_change_new"
"HUSKOWSKI Stanisław",2,9584,7164,1.72,1.44,7,7,1,1,3,28,28,0,-0.28,418,0,1,1,136,0,0
"GRAŚ Paweł",2,35779,36992,13.37,15.45,1,1,1,1,12,15,16,0,2.08,483,0,1,1,136,0,0
"KRUK Elżbieta Małgorzata",1,53474,30048,10.66,6.53,1,1,1,1,6,30,30,0,-4.13,285,1,1,1,136,1,0
"SCHETYNA Grzegorz",2,54345,61670,13.43,19.66,1,1,1,1,1,24,24,0,6.23,402,0,1,1,136,0,0
"ŁATAS Marek",1,16169,12466,6.04,5.21,3,3,1,1,12,16,16,0,-0.83,329,0,1,1,136,1,0
"ZDROJEWSKI Bogdan",2,213883,149962,38.46,30.2,1,1,1,1,3,28,28,0,-8.26,414,0,1,1,136,0,0
"GAWŁOWSKI Stanisław",2,24597,27047,21.74,12.58,1,1,1,1,40,16,16,0,-9.16,250,0,1,1,136,0,0
"OŻÓG Stanisław",1,38687,37160,16.27,8.13,2,2,1,1,23,30,30,0,-8.14,16,0,1,1,136,1,0
"PIETRASZEWSKA Danuta Róża",2,22790,25496,9.84,6.33,2,2,1,1,31,23,24,0,-3.51,193,1,1,1,136,0,0
"ŁAPIŃSKI Marek",2,2596,6357,0.47,1.28,9,9,2,1,3,28,28,0,0.81,420,0,0,1,136,0,0
"HOC Czesław",1,18309,19942,34.44,9.27,1,1,1,1,40,16,16,0,-25.17,111,0,1,1,136,1,0
"FABISIAK Joanna",2,7552,6739,0.66,0.66,4,4,1,1,19,38,40,0,0,520,1,1,1,136,0,0
"AUGUSTYN Urszula",2,10480,9724,3.73,3.77,2,2,1,1,15,18,18,0,0.04,500,1,1,1,136,0,0
"KŁOSOWSKI Sławomir",1,13357,14165,15.84,4.43,2,2,1,1,21,26,24,0,-11.41,3,0,1,1,136,1,0
"ŚLEDZIŃSKA-KATARASIŃSKA Iwona",2,28516,16279,6.75,4.49,2,2,1,1,9,20,20,0,-2.26,463,1,1,1,136,0,0
"CZARNECKI Witold",1,18137,10201,20.83,3.89,1,1,1,1,37,17,18,0,-16.94,101,0,1,1,136,1,0
"NOWAK Tomasz Piotr",2,28279,24346,27.8,9.3,1,1,1,1,37,18,18,0,-18.5,231,0,1,1,136,0,0
"PIECHOTA Sławomir Jan",2,13345,11750,2.4,2.37,3,3,1,1,3,28,28,0,-0.0299999999999998,415,0,1,1,136,0,0
"MALIK Ewa",1,32231,25214,39.61,8.99,1,1,1,1,32,18,18,0,-30.62,72,1,1,1,136,1,0
"SZWED Stanisław",1,42604,32416,34.89,10.41,1,1,1,1,27,18,18,0,-24.48,46,0,1,1,136,1,0
"STANKE Piotr Jerzy",1,8824,8764,5.69,1.93,6,6,1,2,26,28,28,0,-3.76,39,0,1,1,136,1,0
"TERLECKI Ryszard",1,4246,14726,0.76,2.91,3,3,1,1,13,26,28,0,2.15,333,0,1,1,136,1,0
"WÓJCIK Marek Krzysztof",2,8870,10753,3.83,2.67,5,5,1,1,31,23,24,0,-1.16,196,0,1,1,136,0,0
"GOSIEWSKA Małgorzata Maria",1,1776,8129,0.15,0.8,3,3,2,1,19,38,40,0,0.65,384,1,0,1,136,1,0
"KACZYŃSKI Jarosław Aleksander",1,273684,202297,23.88,19.88,1,1,1,1,19,38,40,0,-4,383,0,1,1,136,1,0
"PODMOKŁY Jerzy",1,3615,4510,5.57,1.73,4,4,2,2,38,18,18,0,-3.84,107,0,0,1,136,1,0
"SADEK Iwona Józefa",2,2490,1239,2.42,0.55,6,6,2,2,28,14,14,0,-1.87,177,1,0,1,136,0,0
"NOWAK Sławomir Ryszard",2,65993,65629,25.57,15.8,1,1,1,1,25,24,24,0,-9.77,155,0,1,1,136,0,0
"RYNASIEWICZ Zbigniew Francisze",2,28690,27510,20.99,6.02,1,1,1,1,23,30,30,0,-14.97,139,0,1,1,136,0,0
"HENCZYCA Bożena Katarzyna",2,3921,3199,2.63,0.94,5,5,2,2,36,24,24,0,-1.69,226,1,0,1,136,0,0
"OLECHOWSKA Alicja Danuta",2,6461,10884,1.4,2.42,4,4,1,1,20,21,23,0,1.02,533,1,1,1,136,0,0
"SZPULAK Irena",1,901,436,1.69,0.2,15,15,2,2,40,16,16,0,-1.49,115,1,0,1,136,1,0
"KRASULSKI Leonard Seweryn",1,17184,12790,30.71,6.54,1,1,1,1,34,16,16,0,-24.17,87,0,1,1,136,1,0
"BRUDZIŃSKI Joachim Stanisław",1,33237,38700,31.49,10.16,1,1,1,1,41,26,24,0,-21.33,117,0,1,1,136,1,0
"ROGACKI Adam Maksym",1,17206,14903,16.82,4.4,2,2,1,1,36,24,23,0,-12.42,96,0,1,1,136,1,0
"KO__LAKIEWICZ Mirosław",2,10770,11000,3.51,3.98,2,2,1,1,16,18,18,0,0.47,505,0,1,1,136,0,0
"STOLARCZYK Jarosław Piotr",2,4379,3919,1.04,1.08,20,20,2,2,9,20,20,0,0.04,469,0,0,1,136,0,0
"CZERWIŃSKI Andrzej",2,24708,16723,8.29,6,1,1,1,1,14,18,20,0,-2.29,495,0,1,1,136,0,0
"POŚLEDNIA Krystyna",2,9020,8714,8.86,3.33,4,4,1,1,37,18,18,0,-5.53,232,0,1,1,136,0,0
"HOFMAN Adam",1,15824,24047,18.18,9.18,2,2,1,1,37,17,18,0,-9,103,0,1,1,136,1,0
"CZUMA Andrzej",2,4344,2433,0.38,0.24,6,6,1,2,19,38,40,0,-0.14,521,0,1,1,136,0,0
"SZTOLCMAN Grzegorz Czesław",2,12701,8926,12.37,3.98,3,3,1,1,28,14,14,0,-8.39,178,0,1,1,136,0,0
"PATALITA Tadeusz",2,6968,6422,2.34,2.3,4,4,2,2,14,18,20,0,-0.04,497,0,0,1,136,0,0
"TOMCZYKIEWICZ Tomasz Kazimierz",2,41035,57323,28,14.23,1,1,1,1,31,18,24,0,-13.77,535,1,1,1,136,0,0
"LATOS Tomasz Edward",1,17751,20308,4.24,5.52,2,2,1,1,4,24,24,0,1.28,274,0,1,1,136,1,0
"MULARCZYK Arkadiusz",1,47929,45801,16.09,16.43,1,1,1,1,14,18,20,0,0.34,341,0,1,1,136,1,0
"LITWIŃSKI Arkadiusz",2,19827,9396,9.22,2.47,3,3,1,1,41,26,23,0,-6.75,259,0,1,1,136,0,0
"HANAJCZYK Agnieszka",2,15050,16484,3.94,4.85,2,2,1,1,11,24,24,0,0.91,475,1,1,1,136,0,0
"BOGUCKI Jacek",1,13236,10927,7.39,2.55,5,5,1,1,24,30,28,0,-4.84,21,0,1,1,136,1,0
"BIERNACKI Marek",2,84157,66019,32.74,14.55,1,1,1,1,26,28,28,0,-18.19,161,0,1,1,136,0,0
"CIEŚLIŃSKI Piotr",2,4687,15547,4.68,10,2,2,1,1,34,16,16,0,5.32,211,0,1,1,136,0,0
"BURDZIAK Józef",1,2424,1948,2.48,0.69,7,7,2,2,29,20,18,0,-1.79,52,0,0,1,136,1,0
"KOWALCZYK Henryk",1,13600,13713,3.69,4.01,4,4,1,1,18,24,24,0,0.32,378,0,1,1,136,1,0
"KACZOR Roman",2,3175,5307,0.57,1.07,13,13,2,1,3,28,28,0,0.5,421,0,0,1,136,0,0
"PIECHA Bolesław Grzegorz",1,44052,34520,40.13,13.07,1,1,1,1,30,18,18,0,-27.06,59,0,1,1,136,1,0
"MATUSZEWSKI Marek",1,12777,16207,3.34,4.77,2,2,1,1,11,24,24,0,1.43,321,0,1,1,136,1,0
"KOSTUCH Urszula Helena",1,1437,976,2.7,0.45,16,16,2,2,40,16,16,0,-2.25,112,1,0,1,136,1,0
"KOWALIK Jerzy",1,2706,1765,0.65,0.48,13,13,2,2,4,24,24,0,-0.17,277,0,0,1,136,1,0
"SOBIERAJSKI Czesław Stanisław",1,6209,2097,5.65,0.79,5,5,2,2,30,18,18,0,-4.86,60,0,0,1,136,1,0
"GŁOGOWSKI Tomasz Marian",2,20744,15649,12.67,5.57,4,4,1,1,29,20,18,0,-7.1,182,0,1,1,136,0,0
"NEUMANN Sławomir Arkadiusz",2,11742,14346,4.54,3.45,6,6,1,1,25,24,24,0,-1.09,154,0,1,1,136,0,0
"RUTKOWSKA Dorota",2,9137,10268,3.13,3.93,3,3,2,1,10,18,18,0,0.8,471,1,0,1,136,0,0
"KIDAWA-BŁOŃSKA Małgorzata Mari",2,13057,45027,1.14,4.42,2,2,1,1,19,38,40,0,3.28,519,1,1,1,136,0,0
"KURZĘPA Jacek Sławomir",1,3027,5402,0.77,1.62,6,6,2,2,8,24,24,0,0.85,304,0,0,1,136,1,0
"MATERNA Jerzy",1,14597,12868,3.7,3.87,3,3,1,1,8,24,24,0,0.17,303,0,1,1,136,1,0
"ARENT Iwona Ewa",1,7187,11955,9.94,4.6,2,2,1,1,35,20,19,0,-5.34,89,1,1,1,136,1,0
"BOJKO Bogdan",2,12205,4391,3.1,1.32,4,4,1,2,8,23,24,0,-1.78,457,0,1,1,136,0,0
"SYCZ Miron",2,9075,8884,9.07,4.54,6,6,1,1,34,16,16,0,-4.53,215,0,1,1,136,0,0
"BIERNAT Andrzej",2,36278,25721,3.49,7.57,1,1,1,1,11,24,24,0,4.08,474,0,1,1,136,0,0
"KULESZA Tomasz Jerzy",2,9296,6976,9.6,2.34,2,2,1,2,22,22,22,0,-7.26,129,0,1,1,136,0,0
"LIPIEC Krzysztof Bogdan",1,4525,6774,2.39,1.56,5,5,1,1,33,32,32,0,-0.83,82,0,1,1,136,1,0
"SZLITKUS Grzegorz Wojciech",1,460,297,0.12,0.08,22,22,2,2,5,26,26,0,-0.04,284,0,0,1,136,1,0
"MATUSIK-LIPIEC Katarzyna",2,15130,22178,2.7,4.38,2,2,1,1,13,25,28,0,1.68,488,1,1,1,136,0,0
"ORZECHOWSKI Maciej Bolesław",2,14940,14123,10.02,4.17,4,4,1,1,36,24,24,0,-5.85,227,0,1,1,136,0,0
"MICHAŁKIEWICZ Krzysztof Stefan",1,11250,11816,2.24,2.57,2,2,1,1,6,30,30,0,0.33,286,0,1,1,136,1,0
"CZESAK Edward",1,17944,18787,6.38,7.28,2,2,1,1,15,18,18,0,0.9,353,0,1,1,136,1,0
"OPIOŁA Marek",1,14709,9545,4.79,3.45,2,2,1,1,16,20,20,0,-1.34,361,0,1,1,136,1,0
"MACIEREWICZ Antoni",1,40055,41871,13.72,16.03,1,1,1,1,10,18,17,0,2.31,314,0,1,1,136,1,0
"ZAKRZEWSKA Jadwiga Teresa",2,7593,11383,1.65,2.53,3,3,1,1,20,21,23,0,0.88,532,1,1,1,136,0,0
"MACHAŁEK Marzena Anna",1,11109,11812,2.75,3.43,3,3,1,1,1,24,24,0,0.68,266,1,1,1,136,1,0
"TOMCZYK Cezary",2,8169,12748,2.14,3.75,3,3,1,1,11,24,24,0,1.61,476,0,1,1,136,0,0
"PITERA Julia Teresa",2,42669,29095,13.9,10.52,1,1,1,1,16,18,18,0,-3.38,504,1,1,1,136,0,0
"KUCHCIŃSKI Marek Tadeusz",1,35060,23128,24.02,7.76,1,1,1,1,22,22,22,0,-16.26,8,0,1,1,136,1,0
"ŻMIJAN Stanisław",2,17606,14202,5.01,4.47,1,1,1,1,7,24,24,0,-0.54,450,0,1,1,136,0,0
"GWIAZDA Anna Teresa",1,2675,5738,2.09,1.38,8,8,2,2,25,24,23,0,-0.71,30,1,0,1,136,1,0
"WITEK Elżbieta Barbara",1,9666,9381,2.39,2.73,2,2,1,2,1,24,24,0,0.34,265,1,1,1,136,1,0
"TCHÓRZEWSKI Krzysztof Józef",1,22413,22787,6.09,6.66,2,2,1,1,18,24,24,0,0.57,376,0,1,1,136,1,0
"KORZENIOWSKI Leszek Sylwester",2,35912,30454,20.91,9.53,1,1,1,1,21,26,24,0,-11.38,122,0,1,1,136,0,0
"ROZPONDEK Halina Leokadia",2,42951,23722,41.86,10.57,1,1,1,1,28,14,14,0,-31.29,175,1,1,1,136,0,0
"SUSKI Marek",1,29497,17251,10.36,6.67,1,1,1,1,17,18,18,0,-3.69,369,0,1,1,136,1,0
"KRUPA Jacek",2,7293,5018,1.3,0.99,6,6,1,2,13,25,28,0,-0.31,491,0,1,1,136,0,0
"MASŁOWSKA Gabriela",1,18743,17777,3.74,3.86,5,5,1,1,6,30,30,0,0.12,289,1,1,1,136,1,0
"TUSK Donald Franciszek",2,534241,374920,46.62,36.84,1,1,1,1,19,38,40,0,-9.77999999999999,518,0,1,1,136,0,0
"SZLACHTA Andrzej",1,16319,13717,6.85,3,4,4,1,1,23,30,30,0,-3.85,19,0,1,1,136,1,0
"SZCZYPIŃSKA Jolanta Irena",1,47996,19819,35.89,4.37,1,1,1,1,26,28,28,0,-31.52,40,1,1,1,136,1,0
"SIKORSKI Radosław Tomasz",2,117291,91720,28,24.95,1,1,1,1,4,24,24,0,-3.05,425,0,1,1,136,0,0
"GORA Stefan Marian",2,5218,3827,1.42,1.12,8,8,2,2,18,22,23,0,-0.3,516,0,0,1,136,0,0
"NOWAK Maria Teresa",1,9718,10820,6.62,2.69,3,3,1,1,31,24,24,0,-3.93,63,1,1,1,136,1,0
"DROZD Ewa",2,19908,14205,4.92,4.13,2,2,1,1,1,24,24,0,-0.79,403,1,1,1,136,0,0
"KOPACZ Ewa Bożena",2,39155,41554,13.75,16.07,1,1,1,1,17,18,18,0,2.32,508,1,1,1,136,0,0
"ZUBA Maria",1,3492,6222,1.85,1.44,3,3,1,1,33,32,32,0,-0.41,85,1,1,1,136,1,0
"KATULSKI Jarosław Paweł",2,7514,5872,1.79,1.6,4,4,1,1,4,24,24,0,-0.19,428,0,1,1,136,0,0
"AST Marek",1,21184,12598,5.37,3.79,1,1,1,1,8,24,24,0,-1.58,301,0,1,1,136,1,0
"KOSECKI Roman Jacek",2,6847,4603,0.6,0.45,10,10,1,1,19,38,40,0,-0.15,522,0,1,1,136,0,0
"PACELT Zbigniew",2,8455,8842,6.26,2.04,3,3,1,1,33,32,32,0,-4.22,208,0,1,1,136,0,0
"ŻOK Krystyna Teresa",2,2350,1640,2.31,0.63,10,10,2,2,37,18,18,0,-1.68,234,1,0,1,136,0,0
"WITKOWSKI Radosław",2,8229,7285,2.89,2.82,2,2,1,1,17,18,18,0,-0.0700000000000003,509,0,1,1,136,0,0
"CZECHYRA Czesław Jan",2,6871,4347,2.41,1.68,3,3,1,1,17,18,18,0,-0.73,510,0,1,1,136,0,0
"FEDOROWICZ Jerzy Feliks",2,15649,28383,2.79,5.6,4,4,1,1,13,25,28,0,2.81,490,0,1,1,136,0,0
"MROCZEK Czesław",2,33207,22985,9.02,6.71,1,1,1,1,18,22,23,0,-2.31,512,0,1,1,136,0,0
"KOCHAN Magdalena Maria",2,17052,14198,7.93,3.73,2,2,1,2,41,26,23,0,-4.2,256,1,1,1,136,0,0
"DRAB Marzenna Stefania",1,7396,4782,1.88,1.36,4,4,1,2,5,26,26,0,-0.52,282,1,1,1,136,1,0
"RADZISZEWSKA Elżbieta",2,33480,19269,11.47,7.38,1,1,1,1,10,18,18,0,-4.09,470,1,1,1,136,0,0
"KOZACZYŃSKI Jacek",2,8989,6804,2.44,1.99,2,2,1,1,18,22,23,0,-0.45,513,0,1,1,136,0,0
"RZĄSA Marek Zdzisław",2,8050,9204,8.32,3.09,3,3,1,1,22,22,22,0,-5.23,131,0,1,1,136,0,0
"GAŻA Grzegorz Krzysztof",1,6230,5731,5.1,1.84,7,7,2,2,27,18,18,0,-3.26,43,0,0,1,136,1,0
"SAPIŃSKA Daria Krystyna",2,4558,3188,3.05,0.74,10,10,2,2,24,30,28,0,-2.31,147,1,0,1,136,0,0
"RAFALSKA Elżbieta",1,16922,14812,4.29,4.45,2,2,1,1,8,24,24,0,0.16,302,1,1,1,136,1,0
"AZIEWICZ Tadeusz",2,17275,14013,6.72,3.09,2,2,1,1,26,28,28,0,-3.63,160,0,1,1,136,0,0
"WYKRĘT Adam",2,10180,9069,7.06,2.91,4,4,1,2,27,18,18,0,-4.15,172,0,1,1,136,0,0
"DUNIN Artur Jerzy",2,7868,9595,2.06,2.82,24,24,1,1,11,24,24,0,0.76,482,0,1,1,136,0,0
"ANDZEL Waldemar Franciszek",1,10121,10328,12.43,3.68,2,2,1,1,32,18,18,0,-8.75,69,0,1,1,136,1,0
"JASIŃSKI Wojciech Stefan",1,30702,26125,10,9.45,1,1,1,1,16,20,20,0,-0.550000000000001,360,0,1,1,136,1,0
"BRODNIAK Roman",2,10191,5688,2.52,1.65,5,5,1,2,1,24,24,0,-0.87,405,0,1,1,136,0,0
"PLUTA Mirosław Stanisław",2,9342,12812,6.83,2.8,5,5,1,1,23,30,30,0,-4.03,138,0,1,1,136,0,0
"LIPIŃSKI Adam",1,32303,25523,7.98,7.42,1,1,1,2,1,24,24,0,-0.56,264,0,1,1,136,1,0
"RUTNICKI Jakub Adam",2,18590,19784,14.86,7.61,2,2,1,1,38,18,18,0,-7.25,238,0,1,1,136,0,0
"DOLATA Zbigniew",1,13763,11939,15.81,4.56,3,3,1,1,37,17,18,0,-11.25,102,0,1,1,136,1,0
"SKOWROŃSKA Krystyna",2,33557,25174,24.55,5.5,2,2,1,1,23,30,30,0,-19.05,140,1,1,1,136,0,0
"SZEJNFELD Adam Stanisław",2,57343,45764,45.86,17.6,1,1,1,1,38,18,18,0,-28.26,239,0,1,1,136,0,0
"CZARNECKI Krzysztof Władysław",1,6659,6111,10.26,2.35,3,3,2,2,38,18,18,0,-7.91,105,0,0,1,136,1,0
"GRAD Aleksander",2,29842,23671,10.61,9.18,1,1,1,1,15,18,18,0,-1.43,499,0,1,1,136,0,0
"POLAK Marek Władysław",1,12549,6341,4.69,2.65,4,4,1,1,12,16,16,0,-2.04,330,0,1,1,136,1,0
"SELIGA Dariusz Michał",1,14393,8129,4.93,3.11,2,2,1,1,10,18,17,0,-1.82,315,0,1,1,136,1,0
"BĄK Dariusz",1,16012,10217,5.62,3.95,5,5,1,1,17,18,18,0,-1.67,371,0,1,1,136,1,0
"CZARTORYSKI Arkadiusz",1,22030,17516,5.98,5.12,3,3,1,1,18,24,24,0,-0.86,377,0,1,1,136,1,0
"TELUS Robert",1,8748,11305,3,4.33,14,4,1,1,10,18,17,10,1.33,319,0,1,1,219,1,1
"MUSIAŁ Jan",2,7705,5974,2.74,2.32,5,3,1,2,15,18,18,2,-0.42,501,0,1,1,219,0,1
"JAWORSKI Lech Włodzimierz",2,2016,1527,0.18,0.15,11,9,2,2,19,38,40,2,-0.03,523,0,0,1,219,0,1
"KLECHOWICZ Dariusz Władysław",2,833,201,0.17,0.04,30,19,2,2,6,30,30,11,-0.13,449,0,0,1,219,0,1
"BURY Jan",1,6652,5911,4.55,1.98,20,15,2,2,22,22,22,5,-2.57,5,0,0,1,219,1,1
"BŁĄDEK Antoni",1,10642,9631,4.47,2.11,30,8,1,2,23,30,30,22,-2.36,11,0,1,1,219,1,1
"PIECHULA Stanisław Maksymilian",2,9575,9381,7.09,3.55,18,17,2,2,30,18,18,1,-3.54,188,0,0,1,219,0,1
"ZACHAREWICZ Jacek Paweł",2,9579,8857,3.28,3.39,4,2,1,2,10,18,18,2,0.11,472,0,1,1,219,0,1
"KRAWCZYK Iwona",2,6911,5682,1.71,1.65,13,7,2,2,1,24,24,6,-0.06,406,1,0,1,219,0,1
"KOSSAKOWSKI Wojciech",1,4043,5548,5.59,2.13,5,4,2,2,35,20,19,1,-3.46,90,0,0,1,219,1,1
"GIERADA Artur Daniel",2,10355,11679,7.67,2.7,5,4,1,1,33,32,32,1,-4.97,205,0,1,1,219,0,1
"KOPEĆ Maciej Stanisław",1,2223,1516,2.1,0.4,18,15,2,2,41,26,24,3,-1.7,120,0,0,1,219,1,1
"PIOTROWSKA Jolanta",2,5519,5669,4.07,2.18,19,9,2,2,35,20,20,10,-1.89,223,1,0,1,219,0,1
"POMASKA Agnieszka Dominika",2,9495,16117,3.67,3.88,8,4,1,1,25,24,24,4,0.21,158,1,1,1,219,0,1
"WO__NIAK-SIONEK Elżbieta",1,2677,2538,0.73,0.74,14,8,2,2,18,24,24,6,0.01,382,1,0,1,219,1,1
"GŁUCHOWSKI Krzysztof",1,8584,8438,1.71,1.83,11,9,2,2,6,30,30,2,0.12,292,0,0,1,219,1,1
"DĄBROWSKA Alicja",2,2885,4622,0.25,0.45,17,14,1,1,19,38,40,3,0.2,526,1,1,1,219,0,1
"OŚWIĘCIMSKI Konstanty Tomasz",2,7975,7459,3.71,1.96,7,5,2,1,41,26,23,2,-1.75,260,0,0,1,219,0,1
"DOLCZEWSKI Dariusz Dominik",2,800,1737,0.07,0.17,23,12,2,2,19,38,40,11,0.1,529,0,0,1,219,0,1
"ARKIT Tadeusz",2,9836,12458,3.67,5.2,6,2,1,1,12,15,16,4,1.53,485,0,1,1,219,0,1
"KAMIŃSKA Anna Bogda",1,2743,1325,0.65,0.37,11,8,2,2,9,20,20,3,-0.28,313,1,0,1,219,1,1
"WIELICHOWSKA Monika",2,5877,10589,2.17,4.7,6,4,1,1,2,15,16,2,2.53,412,1,1,1,219,0,1
"MAŁECKI Maciej",1,5924,9757,1.93,3.53,10,8,2,1,16,20,20,2,1.6,366,0,0,1,219,1,1
"STANKIEWICZ Arkadiusz Andrzej",1,912,607,0.89,0.18,12,9,2,2,36,24,23,3,-0.71,98,0,0,1,219,1,1
"KIERWIŃSKI Marcin Piotr",2,1403,3580,0.12,0.35,13,5,2,1,19,38,40,8,0.23,525,0,0,1,219,0,1
"KA__MIERCZAK Jan Piotr",2,7641,8155,4.66,2.9,7,6,1,1,29,20,18,1,-1.76,183,0,1,1,219,0,1
"DOBRZYŃSKI Leszek",1,5611,6107,5.31,1.6,3,2,1,1,41,26,24,1,-3.71,118,0,1,1,219,1,1
"MŁYŃCZAK Aldona",2,5420,4855,0.97,0.98,5,4,1,2,3,28,28,1,0.01,417,1,1,1,219,0,1
"SMOLARZ Tomasz",2,8208,9893,3.03,4.39,4,3,1,1,2,15,16,1,1.36,411,0,1,1,219,0,1
"BARTOSIK Ryszard",1,6342,4274,7.28,1.63,8,6,2,2,37,17,18,2,-5.65,99,0,0,1,219,1,1
"BINDER Piotr Jan",2,2167,1549,0.57,0.46,11,8,2,2,11,24,24,3,-0.11,479,0,0,1,219,0,1
"KACZYŃSKI Leonard Zbigniew",1,5154,4485,3.51,1.11,14,13,2,2,31,24,24,1,-2.4,62,0,0,1,219,1,1
"STĘPIEŃ Joanna",2,3774,6553,2.3,2.33,15,5,2,2,29,20,18,10,0.0300000000000002,184,1,0,1,219,0,1
"POPIOŁEK Krzysztof Andrzej",1,13467,12755,5.65,2.79,11,7,1,1,23,30,30,4,-2.86,18,0,1,1,219,1,1
"ZALEWSKA Anna Elżbieta",1,10584,14999,3.9,6.65,4,2,1,1,2,16,16,2,2.75,269,1,1,1,219,1,1
"ABRAMOWICZ Adam Krzysztof",1,11970,12707,3.41,4,5,4,1,1,7,24,24,1,0.59,298,0,1,1,219,1,1
"PENCZAK Maria Karolina",1,972,558,0.33,0.21,15,10,2,2,10,18,17,5,-0.12,320,1,0,1,219,1,1
"ZIELIŃSKI Jarosław",1,21830,21015,12.19,4.9,3,2,1,1,24,30,28,1,-7.29,28,0,1,1,219,1,1
"BARAŃSKI Rafał Paweł",2,1287,1006,0.35,0.29,19,11,2,2,18,22,23,8,-0.06,517,0,0,1,219,0,1
"PIOTROWSKA Teresa",2,12558,10009,3,2.72,3,2,1,1,4,24,24,1,-0.28,427,1,1,1,219,0,1
