"nazwisko","party","votes_2007","votes_2011","percent_2007","percent_2011","position_2007","position_2011","mandate_2007","mandate_2011","district","l_os_lista2007","l_os_lista2011","o_ile","o_ile_procent","id","gender","mandat_2007","liczba","liczba_osob","partia_dummy","position_change_new"
"SOBCZYK Danuta Elżbieta",1,4589,4329,3.12,1.07,9,8,2,2,31,24,24,1,-2.05,67,1,0,1,219,1,1
"STAWIARSKI Jarosław Piotr",1,11949,10126,2.38,2.2,8,7,1,2,6,30,30,1,-0.18,290,0,1,1,219,1,1
"ZALESKI Jerzy",2,2466,1916,0.63,0.54,16,13,2,2,5,26,26,3,-0.09,440,0,0,1,219,0,1
"MAZUREK Beata",1,15821,22249,4.5,7,3,1,1,1,7,24,24,2,2.5,296,1,1,1,219,1,1
"BĘTKOWSKI Andrzej Krzysztof",1,3112,4591,1.65,1.06,7,4,1,1,33,32,32,3,-0.59,78,0,1,1,219,1,1
"MISIOŁEK Marta",1,1587,1155,0.39,0,21,17,2,2,22,22,22,4,-0.39,9,1,0,1,219,1,1
"SABAT Bartłomiej Daniel",2,2735,4544,2.66,2.02,8,5,2,2,28,14,14,3,-0.64,176,0,0,1,219,0,1
"ZAWADZKI Ryszard Józef",2,11113,10108,8.23,3.83,7,6,1,1,30,18,18,1,-4.4,190,0,1,1,219,0,1
"KAMIŃSKI Mariusz",1,11823,22675,6.6,5.29,7,4,1,1,24,30,28,3,-1.31,25,0,1,1,219,1,1
"RUSINOWSKA Beata Małgorzata",2,6915,8773,2.25,3.17,4,3,2,2,16,18,18,1,0.92,506,1,0,1,219,0,1
"SOKÓŁ Paweł",1,1921,2164,2.36,0.77,10,4,2,2,32,18,18,6,-1.59,74,0,0,1,219,1,1
"OLEJNICZAK Danuta Maria",2,11631,7303,10.28,3.4,3,2,1,2,40,16,16,1,-6.88,253,1,1,1,219,0,1
"BIEDA Robert",2,3432,1690,0.9,0.5,12,9,2,2,11,24,24,3,-0.4,480,0,0,1,219,0,1
"SZCZERBA Michał Roch",2,2372,4137,0.21,0.41,26,15,1,1,19,38,40,11,0.2,530,0,1,1,219,0,1
"SZULC Jakub Maciej",2,12310,17230,4.54,7.64,3,2,1,1,2,15,16,1,3.1,410,0,1,1,219,0,1
"WILAND Małgorzata",2,1316,512,0.43,0.19,18,10,2,2,16,18,18,8,-0.24,507,1,0,1,219,0,1
"JANCZYK Wiesław Stanisław",1,10696,13993,3.59,5.02,8,6,1,1,14,18,20,2,1.43,346,0,1,1,219,1,1
"DURKA Zenon",2,7761,7988,1.69,1.78,19,8,2,2,20,21,23,11,0.0900000000000001,534,0,0,1,219,0,1
"MIŚKO Waldemar Włodzimierz",2,4234,5606,3.74,2.61,12,10,2,2,40,16,16,2,-1.13,252,0,0,1,219,0,1
"WARDA Maria Alina",1,1816,2464,0.43,0.67,12,7,2,2,4,24,24,5,0.24,276,1,0,1,219,1,1
"ROMANEK Andrzej Stanisław",1,9273,9743,3.11,3.49,18,7,2,1,14,18,20,11,0.38,351,0,0,1,219,1,1
"GRAD Mariusz",2,9766,9962,2.78,3.13,4,2,1,1,7,24,24,2,0.35,452,0,1,1,219,0,1
"MIROWSKI Bartosz Dominik",2,332,674,0.26,0.26,16,12,2,2,38,18,18,4,0,236,0,0,1,219,0,1
"BOROWIAK Łukasz",2,9468,11545,6.35,3.41,7,3,1,1,36,24,24,4,-2.94,225,0,1,1,219,0,1
"OSUCH Jacek Piotr",1,2458,10997,0.44,2.17,25,5,1,1,13,26,28,20,1.73,339,0,1,1,219,1,1
"GALERCZYK Krzysztof Jan",1,230,260,0.06,0.08,23,22,2,2,8,24,24,1,0.02,308,0,0,1,219,1,1
"LESZCZYNA Izabela Dorota",2,11617,18737,11.32,8.35,4,2,1,1,28,14,14,2,-2.97,174,1,1,1,219,0,1
"SMOLIŃSKI Kazimierz",1,2776,6881,2.16,1.66,13,5,2,2,25,24,23,8,-0.5,34,0,0,1,219,1,1
"SZYDŁO Beata",1,20486,43612,7.65,18.22,2,1,1,1,12,16,16,1,10.57,328,1,1,1,219,1,1
"KONDRAT Michał Stanisław",1,558,2746,0.05,0.27,30,17,2,2,19,38,40,13,0.22,391,0,0,1,219,1,1
"OSIECKI Julian",2,4529,4063,3.34,1.56,8,7,2,2,35,20,20,1,-1.78,221,0,0,1,219,0,1
"PIETRZCZYK Lucjan Marek",2,4216,6057,3.12,1.4,24,6,1,1,33,32,32,18,-1.72,209,0,1,1,219,0,1
"PAMPUCH Mirosław Józef",2,2198,3554,1.62,1.37,13,8,2,2,35,20,20,5,-0.25,222,0,0,1,219,0,1
"BIAŁOWĄS Waldemar Franciszek",2,2649,1774,0.53,0.39,14,9,2,2,6,30,30,5,-0.14,446,0,0,1,219,0,1
"OŻÓG Krzysztof",2,2887,3109,2.11,0.68,15,7,2,2,23,30,30,8,-1.43,137,0,0,1,219,0,1
"KRAWCZYK Marek",2,2799,1896,0.73,0.56,16,10,2,2,11,24,24,6,-0.17,481,0,0,1,219,0,1
"SAŁUGA Wojciech Paweł",2,22275,26368,15.28,9.41,2,1,1,1,32,18,18,1,-5.87,201,0,1,1,219,0,1
"KŁOSIN Krystyna Maria",2,7250,16187,2.82,3.57,6,3,2,1,26,28,28,3,0.75,163,1,0,1,219,0,1
"CICHOŃ Janusz Władysław",2,9521,13902,7.03,5.35,6,4,1,1,35,20,20,2,-1.68,218,0,1,1,219,0,1
"ŚLIWIŃSKA Anna Elżbieta",2,4158,3911,2.85,1.4,7,5,2,2,32,18,18,2,-1.45,202,1,0,1,219,0,1
"SZUMILAS Krystyna Maria",2,27100,42200,16.55,15.01,2,1,1,1,29,20,18,1,-1.54,185,1,1,1,219,0,1
"KOŚCIUKIEWICZ Małgorzata Irena",2,2875,1064,1.33,0.28,25,19,2,2,41,26,23,6,-1.05,257,1,0,1,219,0,1
"WARGOCKA Teresa Anna",1,6787,7743,1.84,2.26,7,5,1,2,18,24,24,2,0.42,380,1,1,1,219,1,1
"WARDZAŁA Robert",2,6723,10437,2.39,4.05,16,7,2,1,15,18,18,9,1.66,503,0,0,1,219,0,1
"TATARA Agata Iwona",1,946,3099,0.17,0.61,26,7,2,2,13,26,28,19,0.44,340,1,0,1,219,1,1
"ROSS Tadeusz Edward",2,2712,2373,0.24,0.23,21,13,1,2,19,38,40,8,-0.00999999999999998,527,0,1,1,219,0,1
"PIWOWAR Daniel Łukasz",2,903,506,0.93,0.17,21,17,2,2,22,22,22,4,-0.76,130,0,0,1,219,0,1
"PARUZEL Henryk Józef",1,2418,4067,1.64,1.01,10,7,2,2,31,24,24,3,-0.63,64,0,0,1,219,1,1
"JACKIEWICZ Dawid Bohdan",1,14653,26648,2.63,5.37,3,1,1,1,3,28,28,2,2.74,271,0,1,1,219,1,1
"LENZ Tomasz",2,34545,28998,8.8,8.25,2,1,1,1,5,26,26,1,-0.550000000000001,434,0,1,1,219,0,1
"KOZŁOWSKA Iwona Maria",2,2345,4668,0.56,1.27,8,5,2,1,4,24,24,3,0.71,430,1,0,1,219,0,1
"BARTUŚ Barbara Halina",1,10856,14652,3.64,5.25,7,4,1,1,14,18,20,3,1.61,345,1,1,1,219,1,1
"IWANIEC Renata Maria",1,1449,1045,0.52,0.41,14,11,2,2,15,18,18,3,-0.11,357,1,0,1,219,1,1
"KOCH Eugeniusz Kazimierz",2,3947,4530,2.91,1.74,9,5,2,2,35,20,20,4,-1.17,219,0,0,1,219,0,1
"ŁUBIŃSKA Ewa",1,3736,2537,1.22,0.92,11,8,2,2,16,20,20,3,-0.3,367,1,0,1,219,1,1
"KRZAK Michał Bazyli",1,1922,1243,0.5,0.37,15,14,2,2,11,24,24,1,-0.13,327,0,0,1,219,1,1
"WOJNAROWSKI Norbert",2,15439,5981,3.82,1.74,4,3,1,1,1,24,24,1,-2.08,404,0,1,1,219,0,1
"KOPACZEWSKA Domicela Katarzyna",2,18320,16992,4.66,4.83,3,2,1,1,5,26,26,1,0.17,435,1,1,1,219,0,1
"PIECHOTA Krzysztof",1,4014,1485,0.87,0.33,15,13,2,2,20,22,24,2,-0.54,399,0,0,1,219,1,1
"BUBLEWICZ Beata Maria",2,19470,23262,14.37,8.95,3,1,1,1,35,20,20,2,-5.42,217,1,1,1,219,0,1
"CHŁOPEK Aleksander Antoni",1,5762,5596,5.9,1.99,4,3,1,2,29,20,18,1,-3.91,53,0,1,1,219,1,1
"MOSKAL Kazimierz Marian",1,21612,14234,9.08,3.11,6,3,1,1,23,30,30,3,-5.97,15,0,1,1,219,1,1
"PIĘTA Jarosław",2,8238,9309,5.65,3.32,5,4,1,1,32,18,18,1,-2.33,200,0,1,1,219,0,1
"KULECZKA-DRAUSOWSKA Ewa",1,359,818,0.38,0.2,16,12,2,2,39,20,20,4,-0.18,109,1,0,1,219,1,1
"WOLAK Ewa Wanda",2,7686,11554,1.38,2.33,4,2,1,1,3,28,28,2,0.95,416,1,1,1,219,0,1
"KOZŁOWSKA-RAJEWICZ Agnieszka",2,17040,27807,6.49,6.95,3,2,1,1,39,20,20,1,0.46,244,1,1,1,219,0,1
"WRÓBLEWSKI Radosław Artur",2,1494,1009,0.38,0.3,17,9,2,2,8,23,24,8,-0.08,462,0,0,1,219,0,1
"CIOŁEK Łukasz Tadeusz",1,983,986,0.18,0.2,22,9,2,2,3,28,28,13,0.02,273,0,0,1,219,1,1
"PATOŃ Piotr Jerzy",1,664,918,0.68,0.33,19,17,2,2,29,20,18,2,-0.35,54,0,0,1,219,1,1
"GLUZA Czesław Tadeusz",2,2245,13334,1.55,4.28,15,6,2,1,27,18,18,9,2.73,170,0,0,1,219,0,1
"BONKOWSKI Waldemar",1,3491,4410,2.61,0.97,15,7,2,2,26,28,28,8,-1.64,35,0,0,1,219,1,1
"MAGACZ Dariusz Marian",2,1688,806,0.58,0.31,18,11,2,2,10,18,18,7,-0.27,473,0,0,1,219,0,1
"BUDNER Alfred",1,6736,3546,7.73,1.35,16,4,2,2,37,17,18,12,-6.38,100,0,0,1,219,1,1
"POLAŃSKI Marek Józef",1,3682,2631,6.58,1.43,10,6,2,2,34,16,16,4,-5.15,88,0,0,1,219,1,1
"SUSKI Paweł",2,7451,7741,6.58,3.6,5,4,1,1,40,16,16,1,-2.98,255,0,1,1,219,0,1
"STRZAŁKOWSKI Stefan Zdzisław",1,4161,4840,7.82,2.25,4,2,1,1,40,16,16,2,-5.57,114,0,1,1,219,1,1
"LOBA Jerzy Andrzej",1,2573,2763,0.61,0.76,6,3,2,2,9,20,20,3,0.15,311,0,0,1,219,1,1
"BRZEZINKA Jacek Piotr",2,9127,10775,5.57,3.83,5,3,1,1,29,20,18,2,-1.74,179,0,1,1,219,0,1
"SŁAWIAK Bożena Maria",2,8942,6673,2.27,2.01,7,5,1,1,8,23,24,2,-0.26,459,1,1,1,219,0,1
"PIETRUCZUK Izabela",2,1263,770,0.84,0.18,28,23,2,2,24,30,28,5,-0.66,145,1,0,1,219,0,1
"GĄSIOR-MAREK Magdalena Ewa",2,16114,14676,3.21,3.19,8,1,1,1,6,30,30,7,-0.02,445,1,1,1,219,0,1
"GÓRSKA Agnieszka Beata",1,4745,3296,1.67,1.27,8,7,2,2,17,18,18,1,-0.4,373,1,0,1,219,1,1
"FILIPIAK Ewa",1,2827,3513,0.95,1.26,11,10,2,2,14,18,20,1,0.31,347,1,0,1,219,1,1
"ŁUCZYK Mariusz Wojciech",1,1028,857,0.76,0.19,14,10,2,2,26,28,28,4,-0.57,37,0,0,1,219,1,1
"BABINETZ Piotr Mieczysław",1,8403,7239,5.75,2.43,6,3,1,1,22,22,22,3,-3.32,4,0,1,1,219,1,1
"MACH Jadwiga",1,1084,1215,0.22,0.26,25,12,2,2,6,30,30,13,0.04,294,1,0,1,219,1,1
"SOKALLA Grażyna Teresa",1,583,435,0.57,0.13,21,14,2,2,36,24,23,7,-0.44,97,1,0,1,219,1,1
"JAWORSKI Andrzej",1,3868,22770,3.02,5.48,24,3,1,1,25,24,23,21,2.46,32,0,1,1,219,1,1
"RAŚ Ireneusz",2,15808,31455,2.82,6.21,3,1,1,1,13,25,28,2,3.39,489,0,1,1,219,0,1
"JURGIEL Krzysztof",1,28212,35763,15.76,8.34,2,1,1,1,24,30,28,1,-7.42,24,0,1,1,219,1,1
"POSZWA Krzysztof",2,2418,3929,1.93,1.51,18,7,2,2,38,18,18,11,-0.42,237,0,0,1,219,0,1
"NYKIEL Mirosława",2,33180,43329,23.04,13.91,2,1,1,1,27,18,18,1,-9.13,171,1,1,1,219,0,1
"BABALSKI Zbigniew",1,6580,7217,11.76,3.69,5,3,1,1,34,16,16,2,-8.07,86,0,1,1,219,1,1
"SZYMAŃSKI Tomasz Józef",2,3469,7510,0.88,2.14,9,4,2,1,5,26,26,5,1.26,439,0,0,1,219,0,1
"RĘBEK Jerzy",1,7243,7503,2.06,2.36,11,5,1,1,7,24,24,6,0.3,300,0,1,1,219,1,1
"TOBISZOWSKI Grzegorz Józef",1,13984,13268,9.53,3.29,5,2,1,1,31,24,24,3,-6.24,68,0,1,1,219,1,1
"WIŚNIEWSKA Jadwiga Maria",1,20814,34491,26.35,15.36,2,1,1,1,28,14,14,1,-10.99,51,1,1,1,219,1,1
"GRANOWSKA Renata Małgorzata",2,1823,4257,0.33,0.86,16,15,2,2,3,28,28,1,0.53,423,1,0,1,219,0,1
"KRÓLIKOWSKA-KIŃSKA Elżbieta Ma",2,3675,3942,0.87,1.09,9,4,2,2,9,20,20,5,0.22,466,1,0,1,219,0,1
"OKŁA - DREWNOWICZ Marzena",2,7151,34745,5.3,8.03,10,1,1,1,33,32,32,9,2.73,207,1,1,1,219,0,1
"WITA Tadeusz Antoni",1,4603,4505,4.71,1.6,5,4,2,2,29,20,18,1,-3.11,56,0,0,1,219,1,1
"KOWALCZYK Roman",1,2090,1259,0.38,0.25,16,11,2,2,3,28,28,5,-0.13,272,0,0,1,219,1,1
"PAPIERSKI Zbigniew",2,1004,477,0.24,0.13,11,8,2,2,9,20,20,3,-0.11,467,0,0,1,219,0,1
"KLOC Izabela Helena",1,14077,12833,12.82,4.86,3,2,1,1,30,18,18,1,-7.96,58,1,1,1,219,1,1
"MUCHA Joanna",2,21028,45568,4.19,9.9,4,2,1,1,6,30,30,2,5.71,444,1,1,1,219,0,1
"ŻYŚKO Robert Artur",2,543,384,0.11,0.08,17,12,2,2,6,30,30,5,-0.03,447,0,0,1,219,0,1
"RACZKOWSKI Damian",2,15762,10271,10.56,2.4,30,2,1,1,24,30,28,28,-8.16,146,0,1,1,219,0,1
"BALCERZAK Klaudiusz",2,5337,5590,1.35,1.68,12,6,2,2,8,23,24,6,0.33,460,0,0,1,219,0,1
"GODSON John Abraham",2,3807,29832,0.9,8.23,19,5,1,1,9,20,20,14,7.33,468,0,1,1,219,0,1
"GRABARCZYK Cezary Stanisław",2,44610,24582,10.55,6.97,3,1,1,1,9,20,20,2,-3.58,464,0,1,1,219,0,1
"ZAKRZEWSKA Danuta",2,6488,5882,1.7,1.73,7,4,2,2,11,24,24,3,0.03,478,1,0,1,219,0,1
"GRAJEK Zbysław Wojciech",2,1299,908,0.87,0.21,25,14,2,2,24,30,28,11,-0.66,143,0,0,1,219,0,1
"PIETRASZ Piotr Aleksander",1,1411,3941,0.96,0.98,6,4,2,2,31,24,24,2,0.02,66,0,0,1,219,1,1
"PICZURA Jan",1,2054,3817,0.69,1.37,15,8,2,2,14,18,20,7,0.68,349,0,0,1,219,1,1
"ADAMCZYK Andrzej",1,3421,14297,0.61,2.82,4,2,1,1,13,26,28,2,2.21,334,0,1,1,219,1,1
"MIKUSIŃSKA Małgorzata",2,2927,1109,1.11,0.28,18,14,2,2,39,20,20,4,-0.83,246,1,0,1,219,0,1
"SIKORA Anna",1,9264,7979,2.01,1.77,22,6,1,2,20,22,24,16,-0.24,401,1,1,1,219,1,1
"LAMCZYK Stanisław Józef",2,10155,12664,3.95,2.79,8,7,1,1,26,28,28,1,-1.16,165,0,1,1,219,0,1
"ORZECHOWSKI Andrzej",2,10052,12046,7.42,4.63,4,2,1,1,35,20,20,2,-2.79,220,0,1,1,219,0,1
"BŁASZCZAK Mariusz",1,10061,44319,2.18,9.85,2,1,1,1,20,22,24,1,7.67,395,0,1,1,219,1,1
"JANKOWSKA Aleksandra Helena",1,1538,3398,1.2,0.82,7,4,2,2,25,24,23,3,-0.38,31,1,0,1,219,1,1
"MAŁECKA-LIBERA Beata Maria",2,20877,23822,14.32,8.5,3,2,1,1,32,18,18,1,-5.82,198,1,1,1,219,0,1
"KULAS Jan Edward",2,9607,7072,3.72,1.7,14,11,2,2,25,24,24,3,-2.02,153,0,0,1,219,0,1
"BUKIEWICZ Bożenna",2,28420,38017,7.21,11.43,2,1,1,1,8,23,24,1,4.22,455,1,1,1,219,0,1
"NOWAKOWSKA Aleksandra Bogumiła",2,3973,4501,0.95,1.22,9,8,2,2,4,24,24,1,0.27,431,1,0,1,219,0,1
"JACH Michał",1,6864,4383,6.5,1.15,4,3,1,1,41,26,24,1,-5.35,119,0,1,1,219,1,1
"BIERNAT Stefania Elżbieta",1,3466,4222,3.28,1.11,8,5,2,2,41,26,24,3,-2.17,116,1,0,1,219,1,1
"ZEMBIK Wojciech Bolesław",1,1156,1408,0.29,0.41,17,8,2,1,1,24,24,9,0.12,267,0,0,1,219,1,1
"KWITEK Marek",1,2653,3726,1.4,0.86,9,6,1,2,33,32,32,3,-0.54,81,0,1,1,219,1,1
"GUT-MOSTOWY Andrzej",2,16009,15345,5.37,5.5,3,2,1,1,14,18,20,1,0.13,496,0,1,1,219,0,1
"KASPEREK Krzysztof",1,2690,2205,1,0.92,12,9,2,2,12,16,16,3,-0.08,332,0,0,1,219,1,1
"OKRĄGŁY Janina",2,5176,11418,3.01,3.57,7,2,2,1,21,26,24,5,0.56,124,1,0,1,219,0,1
"GAWĘDA Jerzy Marek",1,1155,1246,0.28,0.34,11,8,2,2,4,24,24,3,0.06,275,0,0,1,219,1,1
"BOROWCZAK Jerzy Stanisław",2,5738,10504,2.22,2.53,10,8,2,1,25,24,24,2,0.31,150,0,0,1,219,0,1
"KRZĄKAŁA Marek Grzegorz",2,15469,25938,11.46,9.81,5,2,1,1,30,18,18,3,-1.65,187,0,1,1,219,0,1
"REJCZAK Jan",1,7465,3605,2.62,1.39,9,8,2,2,17,18,18,1,-1.23,374,0,0,1,219,1,1
"KOSIOR Bolesław Henryk",1,466,1984,0.08,0.39,8,6,2,2,13,26,28,2,0.31,336,0,0,1,219,1,1
"BREJZA Krzysztof",2,6441,12600,1.54,3.43,24,7,1,1,4,24,24,17,1.89,432,0,1,1,219,0,1
"RUSIECKI Jarosław",1,4637,7323,2.45,1.69,4,2,1,1,33,32,32,2,-0.76,84,0,1,1,219,1,1
"SZYDŁOWSKA Bożena",2,12309,14352,4.69,3.59,6,5,1,1,39,20,20,1,-1.1,248,1,1,1,219,0,1
"PIERZCHAŁA Elżbieta Apolonia",2,8553,14557,3.69,3.61,7,3,1,1,31,23,24,4,-0.0800000000000001,192,1,1,1,219,0,1
"SOŃTA Krzysztof Jan",1,10013,9436,3.52,3.65,7,6,1,2,17,18,18,1,0.13,372,0,1,1,219,1,1
"WYDRA Przemysław",1,946,1176,1.16,0.42,14,10,2,2,32,18,18,4,-0.74,76,0,0,1,219,1,1
"STĘPIEŃ Danuta Waleria",2,2688,2963,1.96,0.65,20,6,2,2,23,30,30,14,-1.31,141,1,0,1,219,0,1
"ZAREMBA Renata",2,10931,6355,5.08,1.67,14,4,1,1,41,26,23,10,-3.41,263,1,1,1,219,0,1
"GUZ Radosław Teofil",2,592,369,0.12,0.08,27,22,2,2,6,30,30,5,-0.04,448,0,0,1,219,0,1
"MAŁECKI Jerzy Wojciech",1,2400,3259,3.32,1.25,14,5,2,2,35,20,19,9,-2.07,91,0,0,1,219,1,1
"STAROŃ Lidia Ewa",2,15514,16091,11.45,6.19,20,3,1,1,35,20,20,17,-5.26,224,1,1,1,219,0,1
"KROPIWNICKI Robert",2,8115,6029,2.01,1.75,24,6,2,1,1,24,24,18,-0.26,408,0,0,1,219,0,1
"TUSK Łukasz Maciej",2,20931,8620,12.19,2.7,22,10,1,2,21,26,24,12,-9.49,126,0,1,1,219,0,1
"PIETRUS Włodzimierz Wacław",1,382,1168,0.07,0.23,14,10,2,2,13,26,28,4,0.16,337,0,0,1,219,1,1
"DWORCZYK Michał Paweł",1,2671,4397,0.23,0.43,38,5,2,2,19,38,40,33,0.2,393,0,0,1,219,1,1
"MRZYGŁOCKA Izabela Katarzyna",2,18523,31697,6.83,14.05,2,1,1,1,2,15,16,1,7.22,409,1,1,1,219,0,1
"JAROS Michał",2,4740,9635,0.85,1.94,17,10,1,1,3,28,28,7,1.09,424,0,1,1,219,0,1
"KARSKI Karol",1,3524,2736,0.31,0.27,5,4,1,2,19,38,40,1,-0.04,385,0,1,1,219,1,1
"GŁOWACKA Halina",1,2830,2049,3.47,0.73,9,5,2,2,32,18,18,4,-2.74,70,1,0,1,219,1,1
"PORĘBA Antoni Marian",1,4152,2606,1.39,0.93,12,11,2,2,14,18,20,1,-0.46,348,0,0,1,219,1,1
"RUDZKI Stanisław Józef",1,996,608,1.02,0.22,13,12,2,2,29,20,18,1,-0.8,55,0,0,1,219,1,1
"WAŁACH Monika Irena",1,4480,1899,3.66,0.61,18,8,2,2,27,18,18,10,-3.05,47,1,0,1,219,1,1
"TOMAŃSKI Piotr",2,11578,9621,11.96,3.23,13,4,1,1,22,22,22,9,-8.73,132,0,1,1,219,0,1
"SONIK Maciej Ryszard",2,3301,3056,1.92,0.96,13,11,2,2,21,26,24,2,-0.96,125,0,0,1,219,0,1
"KARKUT Michał",2,2540,611,1.85,0.13,30,29,2,2,23,30,30,1,-1.72,135,0,0,1,219,0,1
"OSTROWSKI Henryk Ryszard",1,1540,939,0.39,0.28,8,7,2,2,8,24,24,1,-0.11,306,0,0,1,219,1,1
"GUZOWSKA Iwona Kamila",2,9534,22616,3.69,5.45,23,7,1,1,25,24,24,16,1.76,151,1,1,1,219,0,1
"TOMASZAK-ZESIUK Irena Barbara",2,9741,8546,9.57,3.26,3,2,1,2,37,18,18,1,-6.31,233,1,1,1,219,0,1
"BUTRYN Renata Celina",2,10940,8941,8,1.96,7,3,2,1,23,30,30,4,-6.04,133,1,0,1,219,0,1
"CEGLECKA-ZIELONKA Teresa Zuzan",1,5363,5577,6.36,1.74,4,3,2,2,21,26,24,1,-4.62,2,1,0,1,219,1,1
"GÓRSKI Artur",1,3070,4762,0.27,0.47,8,6,1,1,19,38,40,2,0.2,386,0,1,1,219,1,1
"KOPROWSKA Barbara Maria",1,2388,1268,0.85,0.49,15,13,2,2,15,18,18,2,-0.36,358,1,0,1,219,1,1
"PLURA Marek Mirosław",2,10528,22795,4.54,5.66,10,4,1,1,31,23,24,6,1.12,194,0,1,1,219,0,1
"LECH Paweł Piotr",2,2061,2276,0.18,0.22,12,11,2,2,19,38,40,1,0.04,524,0,0,1,219,0,1
"PŁONKA Elżbieta",1,4009,2564,1.02,0.77,24,8,2,2,8,24,24,16,-0.25,309,1,0,1,219,1,1
"ZAWIŚLAK Sławomir",1,16064,24478,4.57,7.7,4,2,1,1,7,24,24,2,3.13,297,0,1,1,219,1,1
"SPRAWKA Lech Stanisław",1,11929,23848,2.38,5.18,9,4,1,1,6,30,30,5,2.8,291,0,1,1,219,1,1
"WILKOSZARSKA Krystyna",2,4581,2333,3.66,0.9,6,5,2,2,38,18,18,1,-2.76,241,1,0,1,219,0,1
"BYCZKOWSKI Dariusz Paweł",1,3267,4074,3.87,1.27,16,6,2,2,21,26,24,10,-2.6,1,0,0,1,219,1,1
"ROJEK Józef",1,11901,15978,4.23,6.19,5,4,1,1,15,18,18,1,1.96,355,0,1,1,219,1,1
"ZIELONKA Jolanta Ewa",2,1643,598,1.21,0.14,31,20,2,2,33,32,32,11,-1.07,210,1,0,1,219,0,1
"GRABICKA Krystyna",1,9988,6776,2.61,1.99,6,4,1,2,11,24,24,2,-0.62,325,1,1,1,219,1,1
"CZEŚNIK Andrzej Sławomir",1,1880,1657,0.61,0.6,7,12,2,2,16,20,20,-5,-0.01,364,0,0,1,180,1,2
